No,Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
272,Matric,Science,"MS Office, Marketing",Google Data Analytics,68,Software Engineer
273,Bachelor's,Commerce,"Kubernetes, Angular, Ruby",Selenium Certification,60,QA Engineer / Software Tester
274,Bachelor's,Commerce,"TCP/IP, Hadoop",AWS Security Specialty,66,Security Engineer
275,Bachelor's,Science,"Swift, GitHub Actions, Linux (Ubuntu)",Selenium Certification,92,QA Engineer / Software Tester
276,Intermediate,Computer Science,"Azure, PowerShell",Tricentis Tosca,62,QA Engineer / Software Tester
277,Bachelor's,Engineering,"REST API, GraphQL, Swift",Microsoft SQL Server Certification,83,Database Administrator (DBA)
278,Bachelor's,Computer Science,"Terraform, REST API, OWASP, Notion",TensorFlow Developer Certificate,81,Machine Learning Engineer
279,PhD,Science,"Bitbucket, Firewall, Django, HTTP/HTTPS",AWS Solutions Architect,87,Cloud Engineer
280,Master's,Computer Science,"Redis, Jira",AWS Certified Developer,77,Software Engineer / Developer
281,Bachelor's,Computer Science,"Jetpack Compose, SQLite, Azure",Google Professional Data Engineer,66,Data Engineer
282,Master's,Science,"Next.js, REST API, CentOS, Design Patterns",NVIDIA Deep Learning,62,Computer Vision Engineer
283,Master's,Computer Science,"Design Patterns, Windows Server, CSS, Technical Writing",CEH (Certified Ethical Hacker),77,Cybersecurity Analyst
284,Bachelor's,Finance,"Communication, SQL",Creative Writing,74,ML Engineer
285,PhD,Computer Science,"Communication, SIEM",ITIL Foundation,92,Technical Support Specialist
286,Master's,Science,"GraphQL, Ansible",PMP,76,IT Consultant
287,Bachelor's,Computer Science,"Technical Writing, C#, Jenkins, Jira",AWS Certified DevOps Engineer,63,DevOps Engineer
288,Master's,Computer Science,"Firebase, Flutter, SQL, Rust",Google Professional ML Engineer,83,Research Scientist
289,Matric,Business,"Linux (Ubuntu), Problem Solving, OSI Model",Google IT Support,70,Data Entry Operator
290,Bachelor's,Computer Science,"NumPy, Data Structures & Algorithms",TensorFlow Developer Certificate,63,Machine Learning Engineer
291,Master's,Business,"DNS, Git, Analytical Thinking",Tricentis Tosca,83,QA Engineer / Software Tester
292,Intermediate,Science,"MS Office, Counseling",Mental Health Basics,80,Research Scientist
293,Intermediate,Commerce,"PostgreSQL, Python",Tally ERP,77,Data Entry Operator
294,Master's,Computer Science,"MySQL, Tableau, NumPy",Coursera ML Specialization,95,ML Engineer
295,Bachelor's,Computer Science,"Ansible, Java, Kali Linux, Django",eJPT,81,Penetration Tester (Ethical Hacker)
296,Matric,Science,"Analytical Thinking, MongoDB, Kali Linux",CompTIA A+,84,IT Support / Help Desk
297,PhD,Computer Science,"JavaScript, Design Patterns, Communication, Agile/Scrum",DeepLearning.AI Specialization,84,Research Scientist
298,Bachelor's,Computer Science,"System Design, Tableau, DNS",CISSP,90,Cybersecurity Analyst
299,Bachelor's,Engineering,"GitHub Actions, CentOS",Microsoft SQL Server Certification,61,Database Administrator (DBA)
300,Master's,Engineering,"C#, Vue, Spring Boot",CISM,68,Security Engineer
301,Matric,Science,"Java, Google Cloud, Subnetting",CISSP,65,Security Engineer
302,PhD,Science,"Windows Server, Analytical Thinking, Agile/Scrum",ITIL Foundation,66,Technical Support Specialist
303,Bachelor's,Arts,"OSI Model, Flutter, PHP",STC Certification,87,Technical Writer
304,Bachelor's,Computer Science,"Swift, OSI Model, Debian, Tableau",AWS Certified Machine Learning,79,ML Engineer
305,Bachelor's,Computer Science,"GitHub Actions, PyTorch, OWASP, Agile/Scrum",Snowflake SnowPro,89,Data Engineer
306,Bachelor's,Science,"System Design, CentOS, Linux (Ubuntu), MySQL",Google IT Support,83,Technical Support Specialist
307,Bachelor's,Computer Science,"Scala, GitLab, Wireshark, SQLite",Google Associate Cloud Engineer,70,Software Engineer / Developer
308,PhD,Science,"PyTorch, Vue",Google Data Analytics,87,Data Analyst
309,Bachelor's,Computer Science,"Communication, System Design, Go",GitHub Certified,81,Software Engineer
310,Master's,Computer Science,"Analytical Thinking, SQL, Design Patterns",AWS GameTech,87,Game Developer
311,Bachelor's,Computer Science,"HTTP/HTTPS, CI/CD",IBM Business Analytics,75,Business Intelligence Analyst
312,Bachelor's,Computer Science,"Elasticsearch, Spark",Tableau Desktop Specialist,94,Business Analyst
313,Bachelor's,Computer Science,"OOP, Analytical Thinking, GitHub Actions, Problem Solving",GitHub Certified,83,Software Engineer
314,Bachelor's,Business,"C#, Spark, Data Structures & Algorithms",AWS Certified Machine Learning,65,Computer Vision Engineer
315,Bachelor's,Business,"Python, GitLab, Flutter, Bitbucket",freeCodeCamp Certification,78,Frontend Developer
316,Master's,Computer Science,"Windows Server, Django, Jenkins, Git",Google Professional SRE,60,Site Reliability Engineer (SRE)
317,Bachelor's,Arts,"Communication, GitLab, Swift, Analytical Thinking",STC Certification,88,Technical Writer
318,Master's,Business,"NumPy, Jetpack Compose",PMI-PBA,64,Business Analyst
319,Matric,Science,"Firewall, GitHub",Google IT Support,77,IT Support / Help Desk
320,PhD,Computer Science,"C++, REST API, Hadoop, Ansible",Google Professional ML Engineer,67,Machine Learning Engineer
321,Bachelor's,Computer Science,"PowerShell, Kotlin/Java (Android)",STC Certification,91,Technical Writer
322,PhD,Computer Science,"Elasticsearch, REST API, Azure",Coursera ML Specialization,87,Data Scientist
323,Bachelor's,Computer Science,"Cassandra, OWASP",Databricks ML Associate,69,Machine Learning Engineer
324,Bachelor's,Engineering,"GitHub Actions, React Native, VPN",MySQL Certified,88,Database Administrator (DBA)
325,Bachelor's,Business,"CI/CD, Elasticsearch, TCP/IP, Burp Suite",AWS Solutions Architect Professional,90,Solutions Architect
326,Bachelor's,Engineering,"GitHub Actions, Communication",Figma Professional,78,Product Designer
327,Master's,Science,"Flask, MySQL, Kotlin",Microsoft Azure Developer,95,Full Stack Developer
328,Bachelor's,Arts,"Jetpack Compose, Rust, Hadoop, Problem Solving",Certified Scrum Master (CSM),66,Scrum Master / Agile Coach
329,Master's,Business,"Technical Writing, Jenkins, React Native",AIPMM CPM,66,Product Manager
330,Master's,Arts,"Django, Redis",Certified Scrum Master (CSM),95,Scrum Master / Agile Coach
331,Bachelor's,Computer Science,"Git, Firebase, Agile/Scrum",Google UX Design Certificate,88,Frontend Developer
332,Master's,Engineering,"Problem Solving, SQL",AWS Certified Developer,84,Full Stack Developer
333,Master's,Computer Science,"Jira, PyTorch, NumPy",Unity Certified Developer,70,AR/VR Developer
334,Bachelor's,Computer Science,"Firewall, Redis",Coursera ML Specialization,78,Data Scientist
335,Bachelor's,Psychology,"Tableau, Wireshark, C#",AWS Certified Machine Learning,94,Computer Vision Engineer
336,Master's,Engineering,"Django, Kubernetes, Scikit-learn, Metasploit",Microsoft Azure Developer,84,Full Stack Developer
337,Bachelor's,Science,"Kubernetes, JavaScript, GitHub, Cassandra",Apple Certified Developer,84,Mobile Developer (iOS / Android)
338,Master's,Computer Science,"Laravel, REST API",Google Professional ML Engineer,60,Machine Learning Engineer
339,Bachelor's,Psychology,"PowerShell, Penetration Testing, Bash/Shell Scripting",IBM QRadar,87,SOC Analyst
340,Master's,Computer Science,"Data Structures & Algorithms, Spark, Vue, TypeScript",DeepLearning.AI Specialization,76,AI Research Scientist
341,Bachelor's,Computer Science,"Cryptography, Penetration Testing",Cisco CCNA,76,Network Engineer
342,Intermediate,Business,"Power BI, System Design",Certified Blockchain Developer,87,Blockchain Developer
343,Intermediate,Psychology,"Data Analysis, Counseling, Python",Digital Marketing,65,ML Engineer
344,Master's,Engineering,"TCP/IP, Load Balancer",HashiCorp Terraform,77,Cloud Engineer
345,Bachelor's,Computer Science,"Express, Jira, Google Cloud, Notion",AWS Certified Machine Learning,78,ML Engineer
346,Master's,Computer Science,"Cassandra, TypeScript, SQL, Data Structures & Algorithms",Oracle Java Certified,62,Software Engineer
347,PhD,Science,"Microservices, Terraform",DeepLearning.AI Specialization,81,Research Scientist
348,Intermediate,Computer Science,"C#, Subnetting",TensorFlow Developer Certificate,70,Computer Vision Engineer
349,Master's,Computer Science,"JavaScript, MongoDB, MySQL, NumPy",IBM Data Science Professional,84,Data Scientist
350,Bachelor's,Business,"Redis, TensorFlow, Express, Hadoop",Microsoft Power BI,89,Business Analyst
351,Master's,Computer Science,"Analytical Thinking, C",Hyperledger Fabric,84,Blockchain Developer
352,Matric,Science,"Git, PowerShell, Elasticsearch",Microsoft MTA,67,IT Support / Help Desk
353,Master's,Business,"OOP, CentOS",Microsoft Azure Developer,87,Full Stack Developer
354,Bachelor's,Business,"Penetration Testing, Technical Writing, NumPy, OWASP",CompTIA Linux+,77,Firmware Engineer
355,Master's,Computer Science,"Flask, GitLab, JavaScript",AWS Certified Developer,72,Software Engineer / Developer
356,PhD,Engineering,"GitHub Actions, Next.js, TCP/IP",AWS Solutions Architect,78,Cloud Engineer
357,Bachelor's,Business,"REST API, MySQL, PostgreSQL",Microsoft Power BI,84,Business Analyst
358,Master's,Engineering,"C++, Git",ICAgile,93,Scrum Master / Agile Coach
359,Bachelor's,Engineering,"Ruby, Pandas",CKA (Kubernetes),62,DevOps Engineer
360,Intermediate,Computer Science,"Load Balancer, Technical Writing",Google IT Support,78,IT Support / Help Desk
361,Bachelor's,Computer Science,"PowerShell, Agile/Scrum, JavaScript",Docker Certified Associate,66,DevOps Engineer
362,Master's,Computer Science,"OOP, GitLab, Technical Writing, Design Patterns",AWS Solutions Architect Professional,66,Solutions Architect
363,Bachelor's,Finance,"GitLab, AWS, MySQL, C#",React Native Certification,68,Mobile Developer (iOS / Android)
364,Master's,Engineering,"Jenkins, Cassandra, Kubernetes",Microsoft Azure Developer,78,Backend Developer
365,Bachelor's,Engineering,"Bash/Shell Scripting, R",PostgreSQL Associate,63,Database Administrator (DBA)
366,Master's,Arts,"Next.js, Subnetting, Kotlin/Java (Android), Firebase",React Native Certification,70,Mobile Developer (iOS / Android)
367,Bachelor's,Computer Science,"JavaScript, Google Cloud",AWS Solutions Architect,63,Enterprise Architect
368,Master's,Computer Science,"Kubernetes, OSI Model, NumPy, Hadoop",Google Professional ML Engineer,75,ML Engineer
369,Bachelor's,Computer Science,"Git, GraphQL, Problem Solving, TensorFlow",AWS Solutions Architect,95,IT Consultant
370,Matric,Engineering,Python,Creative Writing,89,Business Analyst
371,Bachelor's,Science,"Jira, Git, TensorFlow",Microsoft Power BI,84,Data Analyst
372,Intermediate,Engineering,SQL,AWS Certified,70,Software Engineer
373,Matric,Psychology,"Kotlin/Java (Android), Azure",Google Cloud Architect,91,Solutions Architect
374,Bachelor's,Computer Science,"Linux (Ubuntu), Pandas",PMI-PBA,70,Business Analyst
375,Bachelor's,Computer Science,"Spark, Bash/Shell Scripting, Metasploit, GitHub",Cisco CCNA,82,Network Engineer
376,Bachelor's,Computer Science,"Problem Solving, Kotlin/Java (Android)",Adobe Certified Professional,86,UI/UX Designer
377,Bachelor's,Engineering,"Java, PowerShell, GitHub",Microsoft SQL Server Certification,95,Database Administrator (DBA)
378,Master's,Finance,"System Design, PowerShell, CSS, Kubernetes",AWS SysOps Administrator,73,System Administrator
379,Bachelor's,Science,"System Design, Penetration Testing, Problem Solving, Firebase",AWS Certified Developer,83,Full Stack Developer
380,Master's,Arts,"Django, Spark",PMI-ACP,83,Scrum Master / Agile Coach
381,PhD,Computer Science,"Microservices, Data Structures & Algorithms, MySQL, SQL",TensorFlow Developer Certificate,70,Machine Learning Engineer
382,Bachelor's,Engineering,"Hadoop, R",Oracle Java Certified,79,Software Engineer
383,Bachelor's,Business,"MS Office, Financial Analysis, SQL",Mental Health Basics,89,Research Scientist
384,Bachelor's,Computer Science,"Node.js, Cryptography, Bash/Shell Scripting, Terraform",CKA (Kubernetes),69,DevOps Engineer
385,Bachelor's,Engineering,"Subnetting, Debian, React",AWS SysOps Administrator,94,Infrastructure Engineer
386,Master's,Business,"Microservices, Bitbucket, Confluence",AIPMM CPM,67,Product Manager
387,Bachelor's,Science,"Power BI, Swift, GitHub Actions, REST API",Unreal Engine Certification,91,Game Developer
388,Intermediate,Finance,"SQL, GitLab, Hadoop",CompTIA Linux+,88,Embedded Systems Engineer
389,Bachelor's,Computer Science,"Debian, Subnetting",CompTIA Network+,88,Network Engineer
390,Bachelor's,Science,"Terraform, Kubernetes, Data Structures & Algorithms",Oracle Java Certified,84,Backend Developer
391,Bachelor's,Engineering,"Ansible, Firebase, Bash/Shell Scripting",Oracle DBA Certified,62,Database Administrator (DBA)
392,Master's,Business,"React, Pandas, System Design",Scrum Product Owner (CSPO),68,Product Manager
393,Bachelor's,Science,"Docker, Linux (Ubuntu)",Microsoft MTA,86,Technical Support Specialist
394,Intermediate,Computer Science,"Azure, SQL, R, Wireshark",Microsoft Power BI,77,Data Analyst
395,Bachelor's,Commerce,"Ruby, JavaScript, REST API",Google Cloud Professional,86,Backend Developer
396,Intermediate,Psychology,"GraphQL, Linux (Ubuntu), SQL",TOGAF,63,IT Consultant
397,Master's,Computer Science,"Ruby, GitLab, Data Structures & Algorithms, SQLite",AWS Certified Developer,72,Software Engineer
398,Bachelor's,Computer Science,"Firewall, Jira, GraphQL, Flutter",HDI Support Center Analyst,87,IT Support / Help Desk
399,Bachelor's,Business,"Vue, AWS",Google Professional Data Engineer,71,Data Engineer
400,PhD,Computer Science,"System Design, C, Swift",Google Professional ML Engineer,95,Research Scientist
401,Bachelor's,Engineering,"Communication, Windows Server",Google IT Support,75,Technical Support Specialist
402,Master's,Business,"Agile/Scrum, Hadoop, OOP",AIPMM CPM,88,Product Manager
403,Intermediate,Psychology,"Data Analysis, SQL",,87,Software Engineer
404,Bachelor's,Science,"Wireshark, Swift (iOS)",AWS Solutions Architect,81,Enterprise Architect
405,Master's,Science,"Git, OOP, MySQL, R",AWS Security Specialty,65,Security Engineer
406,Matric,Engineering,"Cryptography, Git, DNS",CISSP,75,Security Engineer
407,Master's,Computer Science,"Data Structures & Algorithms, Linux (Ubuntu), NumPy",AWS Certified Machine Learning,93,ML Engineer
408,PhD,Arts,"TCP/IP, Communication, Terraform, Java",HashiCorp Terraform,62,Cloud Engineer
409,Bachelor's,Computer Science,"Node.js, R",Oracle DBA Certified,74,Database Administrator (DBA)
410,Bachelor's,Computer Science,"Elasticsearch, OOP, Metasploit, R",IBM Data Science Professional,85,Data Scientist
411,Master's,Finance,"Swift, CentOS, Azure",CompTIA Network+,69,IoT Engineer
412,Bachelor's,Commerce,"DNS, Agile/Scrum",Microsoft Office Specialist,62,Data Entry Operator
413,Bachelor's,Science,"Ansible, Flutter",AWS Certified Developer,62,Full Stack Developer
414,Bachelor's,Computer Science,"Debian, HTML",Cisco CCNA,87,Infrastructure Engineer
415,Master's,Computer Science,"Cassandra, Linux (Ubuntu)",DeepLearning.AI Specialization,75,AI Research Scientist
416,Master's,Computer Science,"OOP, Jenkins, React Native, GitHub",Oracle Java Certified,72,Software Engineer
417,Bachelor's,Engineering,"Jira, Spring Boot",Google Data Analytics,85,Data Analyst
418,Bachelor's,Arts,"Problem Solving, Angular",TOGAF,70,IT Consultant
419,PhD,Engineering,"PowerShell, Analytical Thinking, Google Cloud, GitLab",Zachman Framework,93,Enterprise Architect
420,PhD,Computer Science,"PostgreSQL, TensorFlow, Microservices, Go",Microsoft Power BI,66,Data Analyst
421,PhD,Engineering,SQL,CFA Level 1,62,ML Engineer
422,Master's,Computer Science,"Microservices, Cryptography",GitHub Certified,77,Software Engineer / Developer
423,Master's,Computer Science,"PowerShell, Spring Boot",AWS Solutions Architect,82,Platform Engineer
424,Bachelor's,Engineering,"MySQL, Pandas",React Native Certification,71,Mobile Developer (iOS / Android)
425,Master's,Business,"Firewall, Azure, OSI Model",PMP (Project Management Professional),92,IT Project Manager
426,Matric,Business,"Agile/Scrum, Jenkins, NumPy",IBM Data Analyst Professional,80,Data Analyst
427,PhD,Computer Science,"Kotlin, Data Structures & Algorithms",TensorFlow Developer Certificate,95,ML Engineer
428,Bachelor's,Computer Science,"Confluence, GitLab",HashiCorp Terraform,85,DevOps Engineer
429,Intermediate,Engineering,"Financial Analysis, Marketing",Creative Writing,69,Research Scientist
430,Bachelor's,Engineering,"MySQL, Go, Swift (iOS)",Google Associate Android Developer,68,Mobile Developer (iOS / Android)
431,Bachelor's,Engineering,"HTML, Kali Linux, Scala, GitLab",Google Associate Cloud Engineer,94,Software Engineer
432,Bachelor's,Computer Science,"SIEM, PyTorch, CentOS, HTTP/HTTPS",Splunk Certified,63,SOC Analyst
433,Intermediate,Business,"Technical Writing, Windows Server, Agile/Scrum",CompTIA IT Fundamentals,86,Data Entry Operator
434,Intermediate,Engineering,"VPN, Subnetting, Bash/Shell Scripting, System Design",HashiCorp Terraform,81,Cloud Engineer
